MD5Leo,ConceptId,ProviderId,VersionId,MetadataFormat
Ae549e047b3d8f405c3d952b5da345f45,C1214562159-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A16f5daf6ded963cd27b50e5bf0c2ed4a,C1215196917-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Af7231e58faefacf40066d8136a586a79,C1214562388-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A306971ac9add21f5cbfbdd5ebad68e27,C1214558479-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A84b74ac553e59fe8ce797e2128a12255,C1221558024-NOAA_NCEI,NOAA_NCEI,First,dif
A92838d7b169b64db15e898fad71836d3,C1215201732-NOAA_NCEI,NOAA_NCEI,1,dif
A4aaf22b9c788d331826865db64d84ff1,C1215201987-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A834b04a4543ded6b5008d5b242119e99,C1215196847-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A0d32821826f5b14209925ce5490d616c,C1214560373-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A68506f7ca18461be5f46b5002b7a7d64,C1214562919-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A6337253cccf036c504dcd2ed8bf70cf1,C1214558910-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A1009a0f5a617bac0ff799599504a5ac3,C1214557647-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A90013b2d55ce822e4b90363d1b13cd5b,C1214559010-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ac8a568779d2f003441fe267c186db14a,C1214558206-NOAA_NCEI,NOAA_NCEI,1999 Edition,dif
A4445afe393b395884126b561e1328998,C1214557568-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Abd0d4260cd06801c33a1c09e9143b5c5,C1215196678-NOAA_NCEI,NOAA_NCEI,1,dif
Ac5b821cba2009a56ffe4e49d59a6d45b,C1214559485-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A77b2b961a9e81c5078da512c2968f2f1,C1215200724-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A96a9004f2de75f6de91457ebbbe7f481,C1214559494-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A38ffe2f0f58718ec355e6f2d6a205f95,C1214559212-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A558b4e3c8ace22995537112342af4344,C1214560603-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ac33058ae3c8cf3c851ad58c335caaf36,C1214558451-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A129945f0fa5d847c8e7c05fd3d232038,C1214562627-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Abcb826b3954ac2e0f3dea39696bc60d1,C1274428798-NOAA_NCEI,NOAA_NCEI,Version 2,dif
A31cb3dbc6258a3ef128be3952b8708f0,C1214561127-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Af9a75990aced4d8ed8ad7b18bfbcd123,C1214557964-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A8faeaa02270d8fced0690e9952f7c5e9,C1214565631-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A9609a83a073b59e690ea76df009a41ba,C1215196995-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ac27bc58fe8f73194f4fbb96c1b3e2c61,C1214557920-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A358d6a3c5a9170beee9b842a70a38849,C1214559661-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A52c8c8b14914c54a5720c258ab02bef5,C1214562777-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A67faf78ba5d093df1f2ecb571998cef0,C1215199930-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ab15745054ab2e2703494f8ab4ec9eabc,C1214561426-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ab6e681d3acfbd91a377c81c32e793dee,C1214566719-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Aa6626926e0e97d6628392f984bf3211a,C1214559184-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A7683ccde64ccad3b6a264f64e791c8b1,C1214558743-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A04f1f80e823a20a5ab3035fbba813c51,C1214565949-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A8773909181bd63b11e35ed2967abaa75,C1381821136-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A2dfb71b6308cd454b3146ed6c23cfdbd,C1214562184-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A9ec170c7d17a395480830a94d7a445ba,C1369845035-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Af0f74804f893b4f76dc7c2d2e7f608fb,C1215197077-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ae69fe2890a02d8faf0c8fb214078da07,C1214563491-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A902c170fee012f9b8acee22aa55f1bec,C1214559117-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A983083d5d94199f51bf45e5cb819c7ef,C1215196706-NOAA_NCEI,NOAA_NCEI,1.0,dif
Ab9f6dfbc1350883db461eb88d388f085,C1214568193-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A18c110c7e9d4daf4284133f60194ae5c,C1214559689-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Af9cb77e97c6be542a72351d8b0a1442c,C1214563123-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ab7759e21b1f68486ab0cb2fa78c34ecd,C1214561778-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A4aab380a27217a89c85c387e03cfe915,C1214562300-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A2f8f9e78c6bf5415a52309ff9ffde56f,C1214559610-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A5ad4c1497d7075df5ac6b12f870cf7e7,C1214566809-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A1e337be5ea558151081c087fe0e372ff,C1214561637-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A5cd6abb38a14f5f14c68c4a5a058bcc9,C1214563246-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A965c65a9e90cc05f0354c5706b1a5a52,C1214558037-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A60c3f4166dda816b9139e5939db9f09f,C1215196759-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A2cd699d416d069f64331a60144c5d14c,C1215197219-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Aa089409edf4d65fcf492518a90abef47,C1214568371-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A71d18c07726ff5731dddd471103d9286,C1214566461-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A5235ecc14a3617d9ef0f44ae50a48e1d,C1214559256-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A939400edecbd6d09a9d1f271d6e99ef4,C1214559168-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A40682df08dcbacf4612549088771dbd8,C1215196960-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A593f584307b821f50f5e3af890a46396,C1214562830-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A5be71d1d536eb11fe018f88104be2f2b,C1214559960-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A3c9ce970bd3f39756790b6d07c413e30,C1214568751-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A255abac21aa722359d5c3c02c946cba5,C1214558426-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A171f15e5d49c4d64220ebad0b414f313,C1214562724-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A2c3cdb0479c0a8cec1f425bad2a694b5,C1214558875-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A1122280d5ee773c909626edc38abe56b,C1214563095-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ad33af117ee4d7b1dd90e7454c6c119d4,C1214558372-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A21da5a21b4f75640c8c14c0dd16e8ce1,C1214565747-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ad349b59bc0bfb966f1851b774d7719c3,C1214558998-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ad276a77a77eb3f07f00267b1e6e85d9e,C1214557728-NOAA_NCEI,NOAA_NCEI,1.0,dif
A8b5ce87c46526ceaf3a838e29a37739b,C1214561549-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ada54d1a33c3229f49c3fca17810ad1c9,C1215196889-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A547c4b4861f32d61dcfa0868a2226287,C1214560920-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ab8ac686821a1c361ad33d5b86a0c44b2,C1215201855-NOAA_NCEI,NOAA_NCEI,1,dif
A2e14a76770a904366ed62b0fe1efdf7b,C1214563035-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A5224eb46f255fca30b620d341e695601,C1214559492-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ac296a1c9ba028143fa27f8ae90a53c81,C1214561152-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A52a7b523de55b505074e7b4888f4dbeb,C1214566209-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A312f344a3c3cac74c6f73ed636fbf4b6,C1214558020-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Aff30422d52aca4fc808d5fd7472b9751,C1214557892-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A5465408f3eef4ba5d6959ed758ccc27f,C1380976174-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Adb4fe0c38de1eb2a8036a75d6653fc85,C1214559230-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Aeb1bd01388e0a3b3deb270a3ac8f95a0,C1214562230-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A98db50e18f50662cd9dee65b21dae63e,C1214559740-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A6e28c75fcb8e7574d9ef0ea50f77c21d,C1214558671-NOAA_NCEI,NOAA_NCEI,2005,dif
Ab59fa606b87f697cc0ec2912d7249a5c,C1214559715-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A4b429f5369ad6e2cc6f2910c17f4fa0d,C1214558769-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A9b497244b8326117280865a8f8570a31,C1214557621-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Aa61ab525f6231f92d19b512a9369f30e,C1214558718-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A1db289b53013e9a7947bbaada5e3803b,C1214561389-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A319009769808759541d32a8b00816ba4,C1215196687-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A636b6afdd8a73660cc35a972347ae758,C1214559265-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Aa94b53a6ee68e36452a18b607105c4b2,C1214559557-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A467bbe502960ce9678fe31b24433cc0d,C1214564827-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ac66988deb17dd53fb15638230b47df8e,C1214559724-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Aa1fdec883b4487e9053c46b881be817c,C1214560876-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ad8209dc3a1b6efe8c97560518c310e78,C1214559636-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A519ef008fcad3dbcd62fba0971d44b7b,C1214562847-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A9c4b6b68a886cacc38b80668320c32b8,C1214567073-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A880e4dc947bfe0cd2256e8b11740ccfe,C1214557735-NOAA_NCEI,NOAA_NCEI,First,dif
A127e38e394741de67d0070336fd17783,C1215199886-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A89d9e9869b291f8ad2a759635a6967d5,C1214562661-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A5707c7092210525de9a1c5a3d6b205ca,C1214559052-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A9594c79a485a9de385d774f65d60d729,C1214558417-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ad7dd6451fc3287272bc9bea0e77c0d4b,C1214559177-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ac444fb616da228f6909f32409a5f701e,C1214560904-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Aac1e88e1675bf8253d1f4aaa79369157,C1214051844-SCIOPS,SCIOPS,Not provided,dif
A0be4fba5c3b908256ab60f051d43f14c,C1214605476-SCIOPS,SCIOPS,Not provided,dif
Ae5a966b78b904ef3abf042a2ae433cd0,C1214606743-SCIOPS,SCIOPS,Not provided,dif
A79468e7c5c1268a76913a75d171cded7,C1214585024-SCIOPS,SCIOPS,Not provided,dif
Aebff74094ce99f1cd73e5da904a90fcb,C1214598178-SCIOPS,SCIOPS,Not provided,dif
A01f021d674a87e918c1ac594f9ad437b,C1214611282-SCIOPS,SCIOPS,Not provided,dif
A763ee8f64c71024ff802ea869d68022f,C1214055330-SCIOPS,SCIOPS,Not provided,dif
A5964edbadc0585cabe6a860115cc2093,C1214591621-SCIOPS,SCIOPS,Not provided,dif
Abed3630f5850b19559e17aa3a9f623f7,C1214614056-SCIOPS,SCIOPS,Not provided,dif
A7406d81b73ca74b5b5acf64bf74aebfa,C1214612067-SCIOPS,SCIOPS,Not provided,dif
A3cb2c5e769c3d0687823624b78e6ac72,C1214053453-SCIOPS,SCIOPS,Not provided,dif
A39a191457e24489b34e616d817519631,C1214592035-SCIOPS,SCIOPS,Not provided,dif
Add163988f486df6f1a8a8ece208650d1,C1214613813-SCIOPS,SCIOPS,Not provided,dif
A7d79eb8e05b3b76fa85a22fbb7baf49b,C1214595144-SCIOPS,SCIOPS,Not provided,dif
A2ef4da9552dda1154e47161929e92ffa,C1214136220-SCIOPS,SCIOPS,Not provided,dif
A30a46c749ba862a966adf3857e46323f,C1214155465-SCIOPS,SCIOPS,Not provided,dif
Ac2817efb4c498ca8fc8d5119b6948994,C1214607553-SCIOPS,SCIOPS,Not provided,dif
A9bc4780705e4277129fca329f019f213,C1214591461-SCIOPS,SCIOPS,Not provided,dif
Aa6f8581b5e794e4f5ae526271f6f8f58,C1214606781-SCIOPS,SCIOPS,Not provided,dif
Afc56ca0a006d2a9e0edf4563dc51e42a,C1214598673-SCIOPS,SCIOPS,Not provided,dif
A58e4aa12019401a11d698992baf69e37,C1214587211-SCIOPS,SCIOPS,Not provided,dif
A9d0c0c31a8d2d320e3bb533699cd87a7,C1214424675-SCIOPS,SCIOPS,Not provided,dif
A47a1d3deb229cf46049d22ce810156e0,C1295206753-SCIOPS,SCIOPS,Not provided,dif
Ab789839a28725bdc2c5dbc3a7e75a123,C1214585778-SCIOPS,SCIOPS,Not provided,dif
