ConceptId,ProviderId,DataCenter,VersionId,MetadataFormat
C1279109560-SCIOPS,SCIOPS,UNAVCO,Not provided,dif
C1214560005-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214561709-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1215196977-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1215196872-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1278266950-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Version 3b,dif
C1214559548-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214562061-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559872-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214557955-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1221558721-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,First,dif
C1215196863-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214559205-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559344-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1281609946-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Version 2,dif
C1214559582-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214562052-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214562636-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558806-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214568117-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1215197174-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214561303-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214557807-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,First,dif
C1214558460-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1221622400-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214565666-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCDC,Not provided,dif
C1214562953-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1220581012-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214558866-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558778-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559777-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1235392744-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCDC,Not provided,dif
C1214557948-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214561398-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558282-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Second,dif
C1214559089-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214557577-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NODC/LISD,Not provided,dif
C1214558970-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558259-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,First,dif
C1214557797-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214559441-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214557841-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,First,dif
C1214559001-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214561310-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214563167-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214564261-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCDC,Not provided,dif
C1214559193-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558118-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,1999 Edition,dif
C1214559045-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558303-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",First,dif
C1221486785-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Version 1.0,dif
C1214567080-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214558194-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,1999 Edition,dif
C1214559476-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214562159-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1215196917-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214562388-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558479-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1221558024-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,First,dif
C1215201732-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,1,dif
C1215201987-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1215196847-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214560373-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214562919-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558910-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214557647-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NODC/COL,Not provided,dif
C1214559010-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558206-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,1999 Edition,dif
C1214557568-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NODC/LISD,Not provided,dif
C1215196678-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,1,dif
C1214559485-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1215200724-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214559494-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559212-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214560603-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558451-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214562627-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1274428798-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCDC,Version 2,dif
C1214561127-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214557964-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214565631-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCDC,Not provided,dif
C1215196995-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214557920-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559661-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214562777-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1215199930-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214561426-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214566719-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214559184-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558743-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214565949-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1381821136-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214562184-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1369845035-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1215197077-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214563491-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559117-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1215196706-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,1.0,dif
C1214568193-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214559689-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214563123-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214561778-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214562300-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559610-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214566809-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214561637-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214563246-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558037-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1215196759-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1215197219-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214568371-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214566461-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559256-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559168-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1215196960-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214562830-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559960-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214568751-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214558426-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214562724-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558875-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214563095-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558372-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214565747-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214558998-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
