MD5Leo,VersionId
Add6c351de741fb60f06fdb4bfe90cf24,Version 2.2-1
A6b0f3f08dd967bd50b7bd9ee08f14129,Release 2.5 (includes preliminary data)
A5d955670cf4e5e095f171fbb00031e36,PRISM3D
A769b8d8b90040f9a63e7b8e3a68d427d,version 2.23
Aad405c2acd8443aca3066735e3ff946e,2012.00
Afa333152aa4d3d8606be3cf1ad623579,Version 1.0 Online Only
A2296200c97ce26b7dc4f2ca2bc5a95ea,July 2004
A055b048fab1f88192986ab100f55403d,1NRT
A6328295697f3bb5c4661044797c346f6,dpc200711
A2603cb88034a7c3f84fd412b91b3f41c,2G
A0723dfd10075aee37a1804a728349dc3,1A
A0372d795ae384c83e23b547c8eefbaef,CSIM 5.0
A16ce744dea24eab33962bc98e0bae198,"Version 1.0, March 13, 2000"
A1e1e6234a9e3684d9bd498c494e072e8,2005.00
Ad0fb963ff976f9c37fc81fe03c21ea7b,2001
A8084bbfa53af0257c7ac7c2ef2c69964,Version 8 
A9e5019862acea8a1bd4753eebbe387b3,2015-08-13
A188b2af8be55dc5a35eee7be25065fcf,October 2002 version
Af03ab16cd58372c77ba45a3d9a5a1cb9,Draft
A1b7bdd0bcd636ea7b2a8e2679213c3c5,March 2005
Aeccbc87e4b5ce2fe28308fd9f2a7baf3,3
A382b0f5185773fa0f67a8ed8056c7759,N/A
A666587982052742c0d7705ef26c6c0c6,Revised July 2003
Acf5f238fca8b6e155078aa41c175743a,9.0
Af3c2da655665d2b6832dd7df8c9f2e07,Version 30SEP2002
Ab2c52583d91323bb0e0a06344d2c1a15,"Version 1.0, May 9, 2000"
Aa27ef1c79c867d68d049751af69f4b38,041
Aa3f2ef7f58efe946c03e80c20cc9d807,vol. 20
A96055f5b06bf9381ac43879351642cf5,1991
A21398b87191d75733ee77c45435addfe,7R01
A11364907cf269dd2183b64287156072a,004
A168909c0b6f1dfbd48f679d47059c1d6,Third
A73c10f2cc78c1eebd8cf46cfcdb8d1c7,Ed. 1
Ac3687f641cfdd19b41b8fe6f7cb68897,Version 4.2
A429fc1eb7d14eab05e2896da09eed266,v02
Ae06e0a48d59fdaf18d85c034c46ba2ec,2014.04
Aef8446f35513a8d6aa2308357a268a7e,2008
A5c108ce0fe89d0632cfce75f650b36c2,R3
A2ab2b1e374a7072b765592907ffe3d9f,V1-00
Aad05e27766f2915f1abb2a4310e83e76,v01r01
A883b9b4170853b321c03290f64ba199f,2013-07-04
Ad5a637cd11aa722a9b4c922c7b740a63,1.01
A46f84c74354033702d8a388b9e996332,January 2000
A6318cf6921ad57ff1efcf6f6a9a715f0,Revised December 2006
A9d51fd1ea7562ef118e3501fcf6b1b24,8r
A738cccd4fda172441f216712a488dca6,017
Aa40a494c7362cf525f241ca23c4cda5a,R1 - Revised 1986
A8defdf721eccf952f304766d030c6ef2,2001.00
Ad5d499190d36328d8e5ebd8dbf63de8a,Phase 4.3
Aa894124cc6d5c5c71afe060d5dde0762,0.9
A073169ca5cb4d45b1d0e56246c004216,2c
A74b4ae3569e5de76af5c144830b188d8,"1.0, April 18, 2000"
Ab8b4b727d6f5d1b61fff7be687f7970f,2004
A5694ab9d44a55db41eda45d63efc4ac4,February 2004
A40d2404d8220aa436e0a3425a6fd0b95,Version 1a
A3fe90d73f739babb90dcf1ded355a566,CM2.1
Ab6b22fff24c765ad6c45cf1fbcea0cc2,Collection 4 and 5
A93dd4de5cddba2c733c65f233097f05a,002
Aa87ff679a2f3e71d9181a67b7542122c,4
Ae0cd1349b4c6e1b5f14ed427e358c2d0,2013-11-20
Ad5b949c69762a83d21e6c934b5924176,Beta-V1-00
Adf0b278f77274a1211c9c6aaf69372e3,NDP-059
Aacff46b161a3b7d6ed01ba79a032acc9,3.2
A16ef9dd2f146ebeeb766f477bdee78cd,1-CV
Ac9f0f895fb98ab9159f51fd0297e236d,8
A4e34602dd848f28c88462ee499addd05,Version 5.4
A671cb8c9b19c0247af30375f5adaed12,2011-11-29
A14bd8cfc8ef868603f83b8581fbb29cd,Version 7.0
Ac68ebab7a1e74618506a0a1fabe54186,3x
A8c9611718f0422ac8dd0baf0903d22e5,051
Ad8348088c1976b367feef268bf0e01d4,v02r01
A6b10e52781f1bb8f475515dbe2ca8cb6,"Version 1.0, February 13, 2001"
A96eaf76d868d0164923dbee3bacad449,"1.0, February, 2002"
Ab8f92e36b4cc8385fca82743d6de08f6,2011.00
A07982bc2a7fd52c6537f2e3499dc4092,Version 31JUL97
Aa40e93b702dafd211dbad62309fc820c,sample version
Aa9d9d1b0257dda96d595bd00149cccdb,10.2
Acc54a8b5455c7d7b12bf74e24b20a360,"Version 1.0, June 16, 2000"
Af8afe3cae8d1960f939d7f6384c86894,v. 2009
A26ccdef46483280c5ba2f001aad81266,V2-07
Af6974b02aab6bdba20ffeaf59f0ec957,2010-09-21
A64b1608a6af04cff62df72832db9c921,PIK CLIMBER-2 (7x18) 1998
A85b7f172124d136eff87b83cb1850ad6,2004-012
A6774cb3249ad153ee3bf86d357dd244a,Updated 2005
A0bddf403774170de5d3357d45a5bc488,v02r00
A66fb41bc1a968c19409f2836482f361d,"Version 1.2, August 01, 1999"
A84eb13cfed01764d9c401219faa56d53,011
A4dd3c17c7a2b552982141fb33d0e7fd4,Ed4
A83ac179311f0e6fbd18b4ff8f40b76c4,2.2a
Aaf032fbcb07ffc7bd2569d86ae4ce1f5,015
A3798985ee5e15c84c4263815d5a4d0b7,Version 1.0
Aedc7ec0c2de05bf5342849081f3b9ea7,1.1 and dev1.2
A219cfe58f6af08ccbcb49a2c8440fdb7,07.17.01
A253614bbac999b38b5b60cae531c4969,2012
A05a63930430065986c2ffaf71a5939a0,"Version 1.0, April 13, 2000"
Ae988e5fd54b0b79f1d8fa9ce06ad58d5,Version 1.1
Ae4c2e8edac362acab7123654b9e73432,1.0
A631ddbe812c98990d856a00d235af2dc,V2-08
A0ebe1a34e990772a2bad83ce076e0766,5.6
A7dbb95c50ce5c7df23a6d6178ea9f756,Version 26MAR2001
A84ed5546d23892bd52bf08bf48eba434,TurboWin+
A42f1c2021170f306e0d0a71d653b38a0,Revised October 2002
A22dc38f1ac0340c4bc03dd9a10adc29d,Version 3
A2cc617a3f6ac4c10184e66c85c30f318,V2-00
Aaf45145c3af92021fb61b20e087131a8,2001 Edition
A4b41da6543935867856ba9be9b538e75,V. 1.0
Ae502cf228f063ea793eba001d5f42d60,"Version 1.0, March 14, 2000"
Abeae421a14a34f831c113f61323d1ab3,Final
Aa6803d72e81ea027c0df907e1885ccda,ORNL/CDIAC-120
A2e6166790e9311588feff1963a311f86,V1-10
A852b42d8b1e58d940939c6b4d4f7551b,Collection 004 and 005
A48f32f63a7395648aeefd5848f39345b,version 1.0
Ae7445efc9c2e5f55aee8a2c2b02c9b7a,2011-10-07
A664a73b55306cbed6eb449751d5c536e,Version 11APR2001
A9df10b6cd5c389549f340dfead86206a,58(07)
Ac331da575c7eb6f801042d5153adc8a3,USGS
A6924f66d3c42e6c8f021dc7c8693ba4c,7.3
A895a074a5b216322121b5f76bc831927,4.1
A225085c0b6a9ec57e9a95a02932c5d99,Vol. 58
Ab7923fe9afe7142a24720692484321c5,055
A36a83c047694723bf57fe548a2cdceb5,v 1.0
A9f34cf553dc472c5be40ab67509f5943,V1-12
A1f481af8be038bbd1e426a0b5a3e8492,Version 04JUN99
Af3de1e18689e70ce6de64fec2db41aee,Version 06JUL2000
A4754db5769c907992ef049f3e46ab107,2C
A336669dbe720233ed5577ddf81b653d3,5.0
A3fe4505c33e4c39e4db0f4354d555b2b,2017-02-08
Aeaef20f0e2b5f4b9ccfbc1ea77823cb0,3.2.04 (0802221)
A1732cb437260c60a0744aea8aedfa331,033
A8c1c741e889b845e4d9782631d89ae4f,Revised August 2003
Ac22cf8376b1893dcfcef0649fe1a7d87,Second
A4eb0974420797e3434337efaa7e2b110,Version 02MAR98
A29075b1d8b290bd87d502bd52e21adfa,2F
Ae9d6df059c684606e3b274b55bf5e7fe,Version 3.3
A8794279f018e37e67b608b6e0fd54bad,"Version 1.0, March 27, 2000"
A4fc48a6fc29f3fa025b3ea55ee784750,Edition4
A4d5cdaeb09f26557fe22b6ff12289344,Preliminary
A0ca772e7f9258aeb98194d11bdfdd204,Online Trends
Ab139a2ce4cad5edc360e5c0dc8f5af7b,2006.00
A4318ab7e0fd4d96528662b5f4f73a3be,"Version February 14, 1997"
A1b917a3cebaa3a40abe62b378bbd9446,Version 1A
A67c19e107de33cab7ea9a9db8bc9ccd2,Not Available
A1757a8186cb62cbc84c0306b7da3ce03,1.02
A99817313206372e0943bfba92cb17437,Not Provided
A5d431191212b0f13c81937d63ee45577,Version 4.0
